0,0.815,0.102,-0.493,3.784,2.502,-2.014
1,0.815,0.101,-0.491,3.967,2.319,-1.465
2,0.817,0.103,-0.490,4.211,2.197,-1.404
3,0.815,0.104,-0.488,4.089,2.380,-1.892
4,0.812,0.102,-0.494,3.967,2.380,-2.625
5,0.809,0.100,-0.495,3.906,2.258,-2.563
6,0.806,0.098,-0.492,3.540,1.587,-1.953
7,0.802,0.101,-0.489,3.113,1.221,-1.709
8,0.794,0.101,-0.485,3.235,0.854,-1.587
9,0.788,0.099,-0.485,3.540,0.671,-1.709
10,0.781,0.100,-0.485,3.601,0.183,-0.977
11,0.797,0.107,-0.481,3.967,-0.916,-0.122
12,0.821,0.121,-0.474,4.211,-1.526,0.549
13,0.834,0.127,-0.471,4.700,-1.282,0.244
14,0.840,0.126,-0.473,5.188,-1.221,-0.793
15,0.832,0.116,-0.481,5.798,-0.977,-1.465
16,0.829,0.110,-0.485,6.226,-1.038,-1.465
17,0.834,0.109,-0.484,6.531,-1.282,-1.282
18,0.837,0.115,-0.487,6.714,-1.282,-0.671
19,0.833,0.111,-0.495,7.324,-1.526,-0.793
20,0.832,0.108,-0.506,7.507,-1.892,-0.732
21,0.838,0.104,-0.512,7.507,-2.625,-0.122
22,0.844,0.109,-0.526,7.446,-3.418,0.854
23,0.850,0.112,-0.540,7.751,-4.639,1.526
24,0.870,0.125,-0.562,8.179,-5.432,2.869
25,0.906,0.138,-0.593,9.460,-5.676,3.784
26,0.934,0.156,-0.625,9.583,-5.737,4.700
27,0.946,0.183,-0.648,8.362,-6.226,6.165
28,0.963,0.201,-0.675,7.324,-5.676,7.507
29,0.972,0.208,-0.712,6.165,-3.662,9.155
30,0.961,0.210,-0.754,4.944,-1.831,12.817
31,0.948,0.203,-0.803,4.883,-0.427,17.395
32,0.946,0.178,-0.859,6.653,-0.732,22.278
33,0.962,0.126,-0.912,9.033,-0.732,27.100
34,0.986,0.088,-0.957,9.644,0.610,33.997
35,0.996,0.058,-0.983,8.911,3.723,43.152
36,0.998,0.019,-0.997,8.850,9.094,54.504
37,1.021,-0.046,-1.032,9.155,15.747,68.237
38,1.041,-0.077,-1.037,8.606,27.344,80.261
39,1.066,-0.145,-1.066,17.090,41.138,88.806
40,1.087,-0.219,-1.130,27.710,49.377,94.482
41,1.080,-0.274,-1.200,37.964,56.580,97.778
42,1.100,-0.273,-1.245,48.035,65.247,102.173
43,1.128,-0.214,-1.264,57.922,76.782,107.910
44,1.111,-0.131,-1.275,67.200,91.980,113.220
45,1.058,-0.045,-1.315,76.233,109.863,119.080
46,0.954,0.003,-1.405,85.632,126.892,127.869
47,0.942,0.070,-1.510,94.666,137.939,141.418
48,0.964,0.143,-1.580,101.685,142.700,156.006
49,0.949,0.174,-1.640,100.037,139.954,164.368
50,0.969,0.194,-1.632,92.285,125.671,165.344
51,1.004,0.224,-1.543,82.825,107.971,161.865
52,0.979,0.196,-1.449,77.332,93.018,155.029
53,0.975,0.168,-1.349,73.425,80.017,152.771
